年/季,總戶數,按身分別分/一般戶數,按身分別分/原住民戶數,按行政區別分/松山區戶數,按行政區別分/信義區戶數,按行政區別分/大安區戶數,按行政區別分/中山區戶數,按行政區別分/中正區戶數,按行政區別分/大同區戶數,按行政區別分/萬華區戶數,按行政區別分/文山區戶數,按行政區別分/南港區戶數,按行政區別分/內湖區戶數,按行政區別分/士林區戶數,按行政區別分/北投區戶數,按行政區別分/其他戶數
 104年第1季底,156,156,-,5,6,3,7,3,1,6,11,8,6,10,9,81
 104年第2季底,156,156,-,5,6,2,7,3,1,6,11,8,6,10,9,82
 104年第3季底,164,164,-,5,6,3,7,3,1,5,13,7,9,12,7,86
 104年第4季底,158,158,-,5,6,3,6,3,1,5,12,7,9,11,7,83
 105年第1季底,157,157,-,5,5,3,5,3,1,5,12,7,8,11,8,84
 105年第2季底,157,157,-,5,5,3,5,3,1,5,12,7,7,10,8,86
 105年第3季底,154,154,-,5,5,3,5,3,1,4,10,7,7,10,8,86
 105年第4季底,160,160,-,5,5,3,6,3,2,5,10,7,8,10,8,88
 106年第1季底,157,157,-,5,5,3,7,3,2,6,11,5,9,7,7,87
 106年第2季底,153,153,-,5,5,3,7,3,2,6,10,6,9,6,7,84
 106年第3季底,152,152,-,5,5,3,7,3,2,7,8,8,7,5,7,85
 106年第4季底,155,155,-,5,5,3,6,3,-,6,8,8,8,5,7,91
 107年第1季底,151,151,-,5,4,3,6,3,-,3,8,9,8,5,7,90
 107年第2季底,147,147,-,5,4,3,6,3,-,4,8,8,8,5,7,86
 107年第3季底,142,141,1,4,3,3,6,3,-,4,7,8,8,5,6,85
 107年第4季底,145,144,1,4,3,4,6,5,1,4,9,8,7,5,6,83
 108年第1季底,142,141,1,4,3,3,6,5,1,3,9,8,7,5,5,83
 108年第2季底,143,142,1,4,4,3,6,4,1,4,9,8,7,5,5,83
 108年第3季底,146,145,1,4,4,3,6,4,1,4,9,8,7,6,5,85
 108年第4季底,143,142,1,4,4,3,6,4,1,4,9,7,7,6,5,83
 109年第1季底,131,130,1,4,2,2,5,3,1,3,8,6,5,5,4,83
 109年第2季底,129,128,1,4,2,2,4,3,1,3,8,7,5,5,3,82
 109年第3季底,129,128,1,3,2,2,4,3,2,4,8,7,6,5,3,80
 109年第4季底,128,127,1,3,2,2,5,3,1,4,8,7,5,6,3,79
 110年第1季底,119,118,1,3,1,2,4,3,1,4,8,6,4,6,3,74
 110年第2季底,115,114,1,3,1,2,4,3,1,4,8,5,3,6,3,72
 110年第3季底,116,115,1,3,1,2,4,3,1,4,8,5,3,6,3,73
 110年第4季底,121,120,1,3,1,2,5,2,2,4,10,5,4,4,3,76
